	trial_type	complete	missIndex	participant	id	blockNumber	b_t	d_t	decision1.corr	decision1.keys	a_t	r_t	decision2.corr	s_t	u_t	block_file
0	main_safe	True	0.0	445	0	0.0	0.0	1.0	1	right	2.0	0.0	0.0	1	0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
1	main_safe	True	0.0	445	0	0.0	0.0	1.0	1	right	2.0	1.0	0.0	1	0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
2	main_safe	True	0.0	445	0	0.0	0.0	0.0	1	left	1.0	0.0	0.0	0	-0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
3	main_safe	True	0.0	445	0	0.0	0.0	1.0	1	right	2.0	0.0	0.0	1	0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
4	main_safe	True	0.0	445	0	0.0	0.0	1.0	1	right	1.0	1.0	1.0	1	0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
5	main_safe	True	0.0	445	0	0.0	0.0	0.0	1	left	2.0	0.0	1.0	0	-0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
6	main_safe	True	0.0	445	0	0.0	0.0	0.0	1	left	1.0	1.0	0.0	0	-0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
7	main_safe	True	0.0	445	0	0.0	0.0	0.0	1	left	1.0	0.0	0.0	0	-0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
8	main_safe	True	0.0	445	0	0.0	0.0	1.0	1	right	1.0	1.0	1.0	1	0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
9	main_safe	True	0.0	445	0	0.0	0.0	0.0	1	left	2.0	0.0	1.0	0	-0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
10	main_safe	True	0.0	445	0	0.0	0.0	0.0	1	left	2.0	1.0	1.0	0	-0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
11	main_safe	True	0.0	445	0	0.0	0.0	1.0	1	right	1.0	1.0	1.0	1	0.08	blockFiles/set_47/main_safe/leftBlue\GB_LB_3.xlsx
